Date,Traded Contract(Lots),Quantity (000's),Total Value (Lacs),Instrument Type
18-Jun-13,3337,83.43,16077.81,FUTCOM
19-Jun-13,2066,51.65,10024.63,FUTCOM
20-Jun-13,2001,50.03,9718.15,FUTCOM
21-Jun-13,3015,75.38,14656.15,FUTCOM
22-Jun-13,1957,48.93,9616.79,FUTCOM
24-Jun-13,4340,108.50,21441.33,FUTCOM
25-Jun-13,3902,97.55,19118.90,FUTCOM
26-Jun-13,2540,63.50,12613.83,FUTCOM
27-Jun-13,3268,81.70,16225.81,FUTCOM
28-Jun-13,3741,93.53,18482.28,FUTCOM
29-Jun-13,1502,37.55,7368.41,FUTCOM
01-Jul-13,2466,61.65,12086.86,FUTCOM
02-Jul-13,1226,30.65,6042.71,FUTCOM
03-Jul-13,1898,47.45,9445.51,FUTCOM
04-Jul-13,1973,49.33,9851.79,FUTCOM
05-Jul-13,2121,53.03,10670.26,FUTCOM
06-Jul-13,1646,41.15,8288.64,FUTCOM
08-Jul-13,2172,54.30,11066.96,FUTCOM
09-Jul-13,1769,44.23,8998.95,FUTCOM
10-Jul-13,2407,60.18,12325.48,FUTCOM
11-Jul-13,1421,35.53,7254.30,FUTCOM
12-Jul-13,3206,80.15,16149.27,FUTCOM
13-Jul-13,1708,42.70,8570.98,FUTCOM
15-Jul-13,2475,61.88,12327.62,FUTCOM
16-Jul-13,1576,39.40,7821.45,FUTCOM
17-Jul-13,2339,58.48,11481.93,FUTCOM
18-Jul-13,2088,52.20,10304.28,FUTCOM
19-Jul-13,2301,57.53,11442.05,FUTCOM
20-Jul-13,864,21.60,4282.70,FUTCOM
22-Jul-13,2837,70.93,14075.46,FUTCOM
23-Jul-13,1647,41.18,8205.29,FUTCOM
24-Jul-13,2166,54.15,10721.43,FUTCOM
25-Jul-13,3047,76.18,14875.58,FUTCOM
26-Jul-13,3720,93.00,17998.23,FUTCOM
27-Jul-13,858,21.45,4164.81,FUTCOM
29-Jul-13,1093,27.33,5274.66,FUTCOM
30-Jul-13,2943,73.58,14203.84,FUTCOM
31-Jul-13,2776,69.40,13607.40,FUTCOM
01-Aug-13,1746,43.65,8575.65,FUTCOM
02-Aug-13,1592,39.80,7822.93,FUTCOM
03-Aug-13,1665,41.63,8271.95,FUTCOM
05-Aug-13,2720,68.00,13666.19,FUTCOM
06-Aug-13,2177,54.43,10897.92,FUTCOM
07-Aug-13,2525,63.13,12708.59,FUTCOM
08-Aug-13,3685,92.13,18894.29,FUTCOM
09-Aug-13,0,0.00,0.00,FUTCOM
10-Aug-13,2004,50.10,10326.65,FUTCOM
12-Aug-13,2256,56.40,11628.84,FUTCOM
13-Aug-13,2424,60.60,12581.86,FUTCOM
14-Aug-13,5694,142.35,30111.91,FUTCOM
16-Aug-13,6344,158.60,34559.46,FUTCOM
17-Aug-13,6694,167.35,37180.30,FUTCOM
19-Aug-13,5816,145.40,31441.60,FUTCOM
20-Aug-13,3417,85.43,18772.08,FUTCOM
21-Aug-13,4475,111.88,24122.23,FUTCOM
22-Aug-13,3539,88.48,18975.16,FUTCOM
23-Aug-13,2430,60.75,12941.75,FUTCOM
24-Aug-13,1287,32.18,6914.57,FUTCOM
26-Aug-13,3371,84.28,18474.16,FUTCOM
27-Aug-13,4379,109.48,24324.47,FUTCOM
28-Aug-13,5189,129.73,29541.60,FUTCOM
29-Aug-13,3198,79.95,17963.40,FUTCOM
30-Aug-13,3042,76.05,16564.62,FUTCOM
31-Aug-13,1989,49.73,11052.10,FUTCOM
02-Sep-13,1976,49.40,10875.71,FUTCOM
03-Sep-13,2803,70.08,15528.24,FUTCOM
04-Sep-13,3028,75.70,16511.73,FUTCOM
05-Sep-13,5143,128.58,27278.84,FUTCOM
06-Sep-13,2578,64.45,13650.57,FUTCOM
07-Sep-13,1463,36.58,7707.68,FUTCOM
09-Sep-13,0,0.00,0.00,FUTCOM
10-Sep-13,2220,55.50,11638.05,FUTCOM
11-Sep-13,3008,75.20,15680.27,FUTCOM
12-Sep-13,3581,89.53,18822.10,FUTCOM
13-Sep-13,2302,57.55,12066.61,FUTCOM
14-Sep-13,1383,34.58,7180.61,FUTCOM
16-Sep-13,2942,73.55,15260.00,FUTCOM
17-Sep-13,2379,59.48,12281.47,FUTCOM
18-Sep-13,2240,56.00,11510.02,FUTCOM
19-Sep-13,2795,69.88,14238.41,FUTCOM
20-Sep-13,2586,64.65,13157.27,FUTCOM
21-Sep-13,1804,45.10,9201.06,FUTCOM
23-Sep-13,3968,99.20,20430.82,FUTCOM
24-Sep-13,4150,103.75,21496.26,FUTCOM
25-Sep-13,3934,98.35,20521.72,FUTCOM
26-Sep-13,4149,103.73,21835.08,FUTCOM
27-Sep-13,3796,94.90,19767.17,FUTCOM
28-Sep-13,2336,58.40,12149.29,FUTCOM
30-Sep-13,4288,107.20,22572.63,FUTCOM
01-Oct-13,4505,112.63,23870.39,FUTCOM
03-Oct-13,3749,93.73,19820.68,FUTCOM
04-Oct-13,3177,79.43,16740.94,FUTCOM
05-Oct-13,1349,33.73,7104.90,FUTCOM
07-Oct-13,2857,71.43,14830.89,FUTCOM
08-Oct-13,5928,148.20,30271.96,FUTCOM
09-Oct-13,4032,100.80,20733.92,FUTCOM
10-Oct-13,3509,87.73,18110.80,FUTCOM
11-Oct-13,3562,89.05,18269.32,FUTCOM
12-Oct-13,1551,38.78,7979.25,FUTCOM
14-Oct-13,3905,97.63,19951.55,FUTCOM
15-Oct-13,4639,115.98,23672.85,FUTCOM
16-Oct-13,0,0.00,0.00,FUTCOM
17-Oct-13,6535,163.38,33428.01,FUTCOM
18-Oct-13,2514,62.85,12916.04,FUTCOM
19-Oct-13,1932,48.30,9892.47,FUTCOM
21-Oct-13,4325,108.13,22036.35,FUTCOM
22-Oct-13,3292,82.30,16760.70,FUTCOM
23-Oct-13,3065,76.63,15496.94,FUTCOM
24-Oct-13,7212,180.30,36148.44,FUTCOM
25-Oct-13,3979,99.48,19786.45,FUTCOM
26-Oct-13,1568,39.20,7865.16,FUTCOM
28-Oct-13,3820,95.50,19158.68,FUTCOM
29-Oct-13,3484,87.10,17267.55,FUTCOM
30-Oct-13,5966,149.15,29286.00,FUTCOM
31-Oct-13,5140,128.50,25008.44,FUTCOM
01-Nov-13,4157,103.93,19921.97,FUTCOM
02-Nov-13,2135,53.38,10115.99,FUTCOM
03-Nov-13,1493,37.33,7107.79,FUTCOM
04-Nov-13,0,0.00,0.00,FUTCOM
05-Nov-13,2119,52.98,10057.38,FUTCOM
06-Nov-13,4134,103.35,19859.21,FUTCOM
07-Nov-13,2998,74.95,14418.11,FUTCOM
08-Nov-13,3005,75.13,14286.24,FUTCOM
09-Nov-13,1603,40.08,7642.79,FUTCOM
11-Nov-13,4463,111.58,21549.57,FUTCOM
12-Nov-13,4877,121.93,23701.98,FUTCOM
13-Nov-13,3204,80.10,15437.91,FUTCOM
14-Nov-13,3598,89.95,17129.50,FUTCOM
15-Nov-13,0,0.00,0.00,FUTCOM
16-Nov-13,2745,68.63,12928.40,FUTCOM
18-Nov-13,4599,114.98,21582.73,FUTCOM
19-Nov-13,4540,113.50,21424.61,FUTCOM
20-Nov-13,4298,107.45,20327.55,FUTCOM
21-Nov-13,3869,96.73,18302.60,FUTCOM
22-Nov-13,4405,110.13,20758.13,FUTCOM
23-Nov-13,4444,111.10,20741.91,FUTCOM
25-Nov-13,5845,146.13,27362.44,FUTCOM
26-Nov-13,7317,182.93,34413.43,FUTCOM
27-Nov-13,5128,128.20,23974.77,FUTCOM
28-Nov-13,6372,159.30,29589.53,FUTCOM
29-Nov-13,6308,157.70,29333.71,FUTCOM
30-Nov-13,1820,45.50,8439.92,FUTCOM
02-Dec-13,2949,73.73,13756.32,FUTCOM
03-Dec-13,1999,49.98,9346.71,FUTCOM
04-Dec-13,5621,140.53,26590.89,FUTCOM
05-Dec-13,4210,105.25,19894.60,FUTCOM
06-Dec-13,3120,78.00,14676.84,FUTCOM
07-Dec-13,2823,70.58,13405.91,FUTCOM
09-Dec-13,3244,81.10,15420.11,FUTCOM
10-Dec-13,2393,59.83,11332.92,FUTCOM
11-Dec-13,3299,82.48,15488.12,FUTCOM
12-Dec-13,6160,154.00,29230.19,FUTCOM
13-Dec-13,10034,250.85,48784.38,FUTCOM
14-Dec-13,3172,79.30,15364.27,FUTCOM
16-Dec-13,6454,161.35,31333.84,FUTCOM
17-Dec-13,4401,110.03,21287.95,FUTCOM
18-Dec-13,4829,120.73,23365.21,FUTCOM
19-Dec-13,9466,236.65,46322.77,FUTCOM
20-Dec-13,8679,216.98,42383.99,FUTCOM
21-Dec-13,4365,109.13,21054.96,FUTCOM
23-Dec-13,5145,128.63,24692.71,FUTCOM
24-Dec-13,6284,157.10,30291.82,FUTCOM
26-Dec-13,5129,128.23,24846.17,FUTCOM
27-Dec-13,4856,121.40,23747.45,FUTCOM
28-Dec-13,2562,64.05,12645.04,FUTCOM
30-Dec-13,7251,181.28,36125.54,FUTCOM
31-Dec-13,7838,195.95,39178.27,FUTCOM
01-Jan-14,3535,88.38,17722.55,FUTCOM
02-Jan-14,5639,140.98,28311.97,FUTCOM
03-Jan-14,4302,107.55,21461.74,FUTCOM
04-Jan-14,4962,124.05,24740.69,FUTCOM
06-Jan-14,6857,171.43,34500.50,FUTCOM
07-Jan-14,10664,266.60,54515.95,FUTCOM
08-Jan-14,8288,207.20,42551.15,FUTCOM
09-Jan-14,10169,254.23,51875.12,FUTCOM
10-Jan-14,7114,177.85,36308.44,FUTCOM
11-Jan-14,5529,138.23,28089.32,FUTCOM
13-Jan-14,10571,264.28,54474.00,FUTCOM
14-Jan-14,0,0.00,0.00,FUTCOM
15-Jan-14,10690,267.25,55500.53,FUTCOM
16-Jan-14,11427,285.68,59243.06,FUTCOM
17-Jan-14,12245,306.13,63361.36,FUTCOM
18-Jan-14,6596,164.90,33745.62,FUTCOM
20-Jan-14,10139,253.48,51764.94,FUTCOM
21-Jan-14,9471,236.78,48879.26,FUTCOM
22-Jan-14,12837,320.93,67360.51,FUTCOM
23-Jan-14,11460,286.50,60223.08,FUTCOM
24-Jan-14,22240,556.00,116243.60,FUTCOM
25-Jan-14,6499,162.48,33890.63,FUTCOM
27-Jan-14,9107,227.68,47513.67,FUTCOM
28-Jan-14,10319,257.98,53509.10,FUTCOM
29-Jan-14,8787,219.68,45615.40,FUTCOM
30-Jan-14,8774,219.35,45800.21,FUTCOM
31-Jan-14,6886,172.15,35913.57,FUTCOM
01-Feb-14,3065,76.63,15896.94,FUTCOM
03-Feb-14,4099,102.48,21338.80,FUTCOM
04-Feb-14,4597,114.93,24003.16,FUTCOM
05-Feb-14,6616,165.40,34739.46,FUTCOM
06-Feb-14,5695,142.38,30087.76,FUTCOM
07-Feb-14,8382,209.55,44553.03,FUTCOM
08-Feb-14,3489,87.23,18489.58,FUTCOM
10-Feb-14,6572,164.30,34716.42,FUTCOM
11-Feb-14,9045,226.13,47400.82,FUTCOM
12-Feb-14,7196,179.90,37758.39,FUTCOM
13-Feb-14,5331,133.28,27943.39,FUTCOM
14-Feb-14,3077,76.93,16055.09,FUTCOM
15-Feb-14,2761,69.03,14438.64,FUTCOM
17-Feb-14,7315,182.88,38014.52,FUTCOM
18-Feb-14,5493,137.33,28637.35,FUTCOM
19-Feb-14,7460,186.50,39021.14,FUTCOM
20-Feb-14,4944,123.60,25936.01,FUTCOM
21-Feb-14,5597,139.93,29390.32,FUTCOM
22-Feb-14,4135,103.38,21736.83,FUTCOM
24-Feb-14,6138,153.45,32161.00,FUTCOM
25-Feb-14,5100,127.50,26635.66,FUTCOM
26-Feb-14,7362,184.05,38190.69,FUTCOM
27-Feb-14,0,0.00,0.00,FUTCOM
28-Feb-14,10093,252.33,51626.89,FUTCOM
01-Mar-14,5994,149.85,30632.32,FUTCOM
03-Mar-14,6555,163.88,33640.94,FUTCOM
04-Mar-14,5890,147.25,30516.67,FUTCOM
05-Mar-14,7659,191.48,40038.19,FUTCOM
06-Mar-14,5257,131.43,27161.55,FUTCOM
07-Mar-14,8192,204.80,43124.94,FUTCOM
08-Mar-14,2532,63.30,13301.67,FUTCOM
10-Mar-14,4020,100.50,21071.72,FUTCOM
11-Mar-14,4911,122.78,25624.29,FUTCOM
12-Mar-14,5959,148.98,30955.06,FUTCOM
13-Mar-14,4241,106.03,22060.09,FUTCOM
14-Mar-14,5878,146.95,30383.63,FUTCOM
15-Mar-14,3149,78.73,16423.07,FUTCOM
17-Mar-14,0,0.00,0.00,FUTCOM
18-Mar-14,3863,96.58,20077.18,FUTCOM
19-Mar-14,2805,70.13,14706.58,FUTCOM
20-Mar-14,5363,134.08,28062.02,FUTCOM
21-Mar-14,6024,150.60,31620.43,FUTCOM
22-Mar-14,3075,76.88,16115.24,FUTCOM
24-Mar-14,3024,75.60,15841.96,FUTCOM
25-Mar-14,9638,240.95,49578.37,FUTCOM
26-Mar-14,7297,182.43,37936.73,FUTCOM
27-Mar-14,4707,117.68,24395.10,FUTCOM
28-Mar-14,4872,121.80,25325.09,FUTCOM
29-Mar-14,1508,37.70,7795.11,FUTCOM
31-Mar-14,3170,79.25,16457.52,FUTCOM
01-Apr-14,4184,104.60,21570.53,FUTCOM
02-Apr-14,4999,124.98,25591.41,FUTCOM
03-Apr-14,3963,99.08,20262.62,FUTCOM
04-Apr-14,2939,73.48,15095.24,FUTCOM
07-Apr-14,3388,84.70,17482.74,FUTCOM
08-Apr-14,1664,41.60,8518.08,FUTCOM
09-Apr-14,4145,103.63,21294.51,FUTCOM
10-Apr-14,8937,223.43,45221.33,FUTCOM
11-Apr-14,4366,109.15,21874.23,FUTCOM
14-Apr-14,2889,72.23,14568.62,FUTCOM
15-Apr-14,4682,117.05,23719.53,FUTCOM
16-Apr-14,3325,83.13,16844.01,FUTCOM
17-Apr-14,3194,79.85,16232.66,FUTCOM
21-Apr-14,7704,192.60,39686.54,FUTCOM
22-Apr-14,7566,189.15,39427.76,FUTCOM
23-Apr-14,10189,254.73,53664.59,FUTCOM
25-Apr-14,5381,134.53,28454.81,FUTCOM
28-Apr-14,3862,96.55,20480.25,FUTCOM
29-Apr-14,4875,121.88,25706.22,FUTCOM
30-Apr-14,2499,62.48,13295.19,FUTCOM
01-May-14,1080,27.00,5735.76,FUTCOM
02-May-14,4420,110.50,23614.64,FUTCOM
05-May-14,3246,81.15,17416.68,FUTCOM
06-May-14,2194,54.85,11788.74,FUTCOM
07-May-14,3907,97.68,20670.26,FUTCOM
08-May-14,4232,105.80,22328.69,FUTCOM
09-May-14,2916,72.90,15401.60,FUTCOM
12-May-14,4536,113.40,23480.09,FUTCOM
13-May-14,3957,98.93,20357.05,FUTCOM
14-May-14,1925,48.13,9868.46,FUTCOM
15-May-14,4647,116.18,23549.44,FUTCOM
16-May-14,5432,135.80,27300.21,FUTCOM
19-May-14,4039,100.98,20133.03,FUTCOM
20-May-14,2955,73.88,14714.24,FUTCOM
21-May-14,4494,112.35,22491.51,FUTCOM
22-May-14,5779,144.48,28762.15,FUTCOM
23-May-14,5961,149.03,29453.03,FUTCOM
26-May-14,5299,132.48,25765.39,FUTCOM
27-May-14,5462,136.55,26417.59,FUTCOM
28-May-14,4611,115.28,22074.99,FUTCOM
29-May-14,5097,127.43,24858.14,FUTCOM
30-May-14,5588,139.70,27412.87,FUTCOM
02-Jun-14,2241,56.03,10864.38,FUTCOM
03-Jun-14,4541,113.53,22269.37,FUTCOM
04-Jun-14,3456,86.40,16978.16,FUTCOM
05-Jun-14,2034,50.85,9923.91,FUTCOM
06-Jun-14,1480,37.00,7191.64,FUTCOM
09-Jun-14,2087,52.18,10117.45,FUTCOM
10-Jun-14,2791,69.78,13577.60,FUTCOM
11-Jun-14,2762,69.05,13504.72,FUTCOM
12-Jun-14,2785,69.63,13636.65,FUTCOM
13-Jun-14,2827,70.68,13905.99,FUTCOM
16-Jun-14,4321,108.03,21524.14,FUTCOM
17-Jun-14,3244,81.10,16161.91,FUTCOM
18-Jun-14,2982,74.55,14937.74,FUTCOM
19-Jun-14,3043,76.08,15193.33,FUTCOM
20-Jun-14,1950,48.75,9711.28,FUTCOM
23-Jun-14,7315,182.88,36862.34,FUTCOM
24-Jun-14,6082,152.05,30716.79,FUTCOM
25-Jun-14,5259,131.48,26614.98,FUTCOM
26-Jun-14,3639,90.98,18239.97,FUTCOM
27-Jun-14,3779,94.48,18915.61,FUTCOM
30-Jun-14,3560,89.00,17953.44,FUTCOM
01-Jul-14,3763,94.08,18731.98,FUTCOM
02-Jul-14,3512,87.80,17270.62,FUTCOM
03-Jul-14,5094,127.35,24753.69,FUTCOM
04-Jul-14,1424,35.60,6914.86,FUTCOM
07-Jul-14,3344,83.60,16316.58,FUTCOM
08-Jul-14,3622,90.55,17542.12,FUTCOM
09-Jul-14,2826,70.65,13689.44,FUTCOM
10-Jul-14,5798,144.95,27593.74,FUTCOM
11-Jul-14,2968,74.20,13856.87,FUTCOM
14-Jul-14,3496,87.40,16278.55,FUTCOM
15-Jul-14,5893,147.33,27779.99,FUTCOM
16-Jul-14,2002,50.05,9326.33,FUTCOM
17-Jul-14,2801,70.03,12997.05,FUTCOM
18-Jul-14,2159,53.98,9938.08,FUTCOM
21-Jul-14,2896,72.40,13406.05,FUTCOM
22-Jul-14,3167,79.18,14539.44,FUTCOM
23-Jul-14,3264,81.60,14877.20,FUTCOM
24-Jul-14,2993,74.83,13465.93,FUTCOM
25-Jul-14,2654,66.35,11797.60,FUTCOM
28-Jul-14,3442,86.05,15301.39,FUTCOM
29-Jul-14,849,21.23,3728.96,FUTCOM
30-Jul-14,3469,86.73,14996.97,FUTCOM
31-Jul-14,4391,109.78,19005.85,FUTCOM
01-Aug-14,3177,79.43,13610.70,FUTCOM
04-Aug-14,3073,76.83,13484.31,FUTCOM
05-Aug-14,3506,87.65,15480.26,FUTCOM
06-Aug-14,2247,56.18,9977.57,FUTCOM
07-Aug-14,1218,30.45,5397.38,FUTCOM
08-Aug-14,1341,33.53,5954.24,FUTCOM
11-Aug-14,2156,53.90,9615.70,FUTCOM
12-Aug-14,2476,61.90,10967.43,FUTCOM
13-Aug-14,2171,54.28,9612.56,FUTCOM
14-Aug-14,3253,81.33,14501.12,FUTCOM
18-Aug-14,1957,48.93,8724.78,FUTCOM
19-Aug-14,870,21.75,3856.27,FUTCOM
20-Aug-14,2003,50.08,8948.17,FUTCOM
21-Aug-14,2934,73.35,13257.76,FUTCOM
22-Aug-14,2172,54.30,9676.36,FUTCOM
25-Aug-14,1663,41.58,7406.66,FUTCOM
26-Aug-14,1622,40.55,7230.42,FUTCOM
27-Aug-14,1412,35.30,6319.76,FUTCOM
28-Aug-14,1647,41.18,7381.71,FUTCOM
29-Aug-14,838,20.95,3725.84,FUTCOM
01-Sep-14,2810,70.25,12194.93,FUTCOM
02-Sep-14,2001,50.03,8616.90,FUTCOM
03-Sep-14,1551,38.78,6725.41,FUTCOM
04-Sep-14,1474,36.85,6429.48,FUTCOM
05-Sep-14,1515,37.88,6494.61,FUTCOM
08-Sep-14,979,24.48,4212.68,FUTCOM
09-Sep-14,2422,60.55,10579.40,FUTCOM
10-Sep-14,3087,77.18,13478.12,FUTCOM
11-Sep-14,2453,61.33,10687.54,FUTCOM
12-Sep-14,1761,44.03,7733.32,FUTCOM
15-Sep-14,2167,54.18,9420.46,FUTCOM
16-Sep-14,1871,46.78,8065.98,FUTCOM
17-Sep-14,944,23.60,4091.85,FUTCOM
18-Sep-14,1388,34.70,5959.22,FUTCOM
19-Sep-14,2879,71.98,12055.98,FUTCOM
22-Sep-14,4344,108.60,17796.78,FUTCOM
23-Sep-14,3005,75.13,12402.93,FUTCOM
24-Sep-14,2727,68.18,11078.06,FUTCOM
25-Sep-14,1675,41.88,6821.38,FUTCOM
26-Sep-14,2742,68.55,11255.90,FUTCOM
29-Sep-14,3142,78.55,12730.40,FUTCOM
30-Sep-14,2511,62.78,10215.38,FUTCOM
01-Oct-14,1386,34.65,5640.74,FUTCOM
03-Oct-14,491,12.28,1983.54,FUTCOM
06-Oct-14,1721,43.03,7059.50,FUTCOM
07-Oct-14,1734,43.35,7114.85,FUTCOM
08-Oct-14,2278,56.95,9306.19,FUTCOM
09-Oct-14,3979,99.48,16322.24,FUTCOM
10-Oct-14,1229,30.73,5014.94,FUTCOM
13-Oct-14,1401,35.03,5711.29,FUTCOM
14-Oct-14,898,22.45,3673.82,FUTCOM
16-Oct-14,1606,40.15,6512.02,FUTCOM
17-Oct-14,1790,44.75,7213.58,FUTCOM
20-Oct-14,2113,52.83,8363.05,FUTCOM
21-Oct-14,2473,61.83,9739.61,FUTCOM
22-Oct-14,2329,58.23,9277.98,FUTCOM
23-Oct-14,932,23.30,3683.02,FUTCOM
24-Oct-14,428,10.70,1704.23,FUTCOM
27-Oct-14,2294,57.35,9132.77,FUTCOM
28-Oct-14,2596,64.90,10322.14,FUTCOM
29-Oct-14,4850,121.25,19513.25,FUTCOM
30-Oct-14,4257,106.43,17106.67,FUTCOM
31-Oct-14,2542,63.55,10077.63,FUTCOM
03-Nov-14,2615,65.38,10262.41,FUTCOM
04-Nov-14,592,14.80,2331.84,FUTCOM
05-Nov-14,2467,61.68,9712.09,FUTCOM
06-Nov-14,1222,30.55,4850.65,FUTCOM
07-Nov-14,1884,47.10,7486.70,FUTCOM
10-Nov-14,4066,101.65,16187.51,FUTCOM
11-Nov-14,2540,63.50,10095.67,FUTCOM
12-Nov-14,2220,55.50,8865.78,FUTCOM
13-Nov-14,2358,58.95,9327.40,FUTCOM
14-Nov-14,2377,59.43,9378.67,FUTCOM
17-Nov-14,1538,38.45,6069.13,FUTCOM
18-Nov-14,3744,93.60,14875.91,FUTCOM
19-Nov-14,2140,53.50,8532.62,FUTCOM
20-Nov-14,3857,96.43,15392.81,FUTCOM
21-Nov-14,3895,97.38,15631.76,FUTCOM
24-Nov-14,3551,88.78,14218.81,FUTCOM
25-Nov-14,3453,86.33,13748.75,FUTCOM
26-Nov-14,3848,96.20,15248.87,FUTCOM
27-Nov-14,2616,65.40,10392.73,FUTCOM
28-Nov-14,3593,89.83,14259.18,FUTCOM
01-Dec-14,1251,31.28,4950.31,FUTCOM
02-Dec-14,962,24.05,3799.87,FUTCOM
03-Dec-14,1806,45.15,7147.47,FUTCOM
04-Dec-14,1207,30.18,4793.24,FUTCOM
05-Dec-14,2011,50.28,7992.31,FUTCOM
08-Dec-14,3304,82.60,13177.05,FUTCOM
09-Dec-14,1231,30.78,4896.18,FUTCOM
10-Dec-14,2098,52.45,8390.06,FUTCOM
11-Dec-14,2736,68.40,10941.24,FUTCOM
12-Dec-14,4517,112.93,18233.12,FUTCOM
15-Dec-14,4566,114.15,18409.11,FUTCOM
16-Dec-14,4660,116.50,18655.53,FUTCOM
17-Dec-14,2251,56.28,8955.01,FUTCOM
18-Dec-14,2249,56.23,8975.38,FUTCOM
19-Dec-14,1912,47.80,7654.55,FUTCOM
22-Dec-14,3389,84.73,13551.09,FUTCOM
23-Dec-14,5000,125.00,20096.34,FUTCOM
24-Dec-14,3970,99.25,15875.55,FUTCOM
26-Dec-14,3222,80.55,12904.73,FUTCOM
29-Dec-14,2710,67.75,10860.56,FUTCOM
30-Dec-14,1938,48.45,7725.12,FUTCOM
31-Dec-14,2475,61.88,9820.50,FUTCOM
01-Jan-15,1707,42.68,6760.40,FUTCOM
02-Jan-15,2766,69.15,10911.42,FUTCOM
05-Jan-15,1547,38.68,6104.11,FUTCOM
06-Jan-15,1294,32.35,5113.33,FUTCOM
07-Jan-15,1524,38.10,6030.54,FUTCOM
08-Jan-15,3855,96.38,15059.40,FUTCOM
09-Jan-15,3357,83.93,12879.36,FUTCOM
12-Jan-15,2784,69.60,10683.32,FUTCOM
13-Jan-15,1498,37.45,5730.38,FUTCOM
14-Jan-15,1994,49.85,7664.59,FUTCOM
15-Jan-15,3021,75.53,11534.84,FUTCOM
16-Jan-15,4656,116.40,17690.65,FUTCOM
19-Jan-15,5724,143.10,21275.20,FUTCOM
20-Jan-15,4215,105.38,15764.83,FUTCOM
21-Jan-15,5330,133.25,19592.59,FUTCOM
22-Jan-15,4194,104.85,15259.09,FUTCOM
23-Jan-15,6237,155.93,22350.45,FUTCOM
27-Jan-15,6432,160.80,23200.84,FUTCOM
28-Jan-15,3923,98.08,14392.88,FUTCOM
29-Jan-15,4756,118.90,17620.82,FUTCOM
30-Jan-15,4922,123.05,18127.49,FUTCOM
02-Feb-15,1470,36.75,5442.49,FUTCOM
03-Feb-15,3300,82.50,12329.96,FUTCOM
04-Feb-15,3099,77.48,11650.30,FUTCOM
05-Feb-15,2749,68.73,10234.58,FUTCOM
06-Feb-15,2209,55.23,8267.91,FUTCOM
09-Feb-15,2882,72.05,10681.51,FUTCOM
10-Feb-15,3342,83.55,12477.49,FUTCOM
11-Feb-15,2025,50.63,7545.56,FUTCOM
12-Feb-15,2395,59.88,8922.67,FUTCOM
13-Feb-15,1968,49.20,7370.31,FUTCOM
16-Feb-15,2016,50.40,7594.08,FUTCOM
17-Feb-15,1249,31.23,4685.63,FUTCOM
18-Feb-15,5460,136.50,20782.92,FUTCOM
19-Feb-15,3562,89.05,13643.21,FUTCOM
20-Feb-15,5263,131.58,20117.44,FUTCOM
23-Feb-15,6147,153.68,23252.35,FUTCOM
24-Feb-15,3446,86.15,13027.52,FUTCOM
25-Feb-15,3767,94.18,14307.54,FUTCOM
26-Feb-15,3792,94.80,14463.23,FUTCOM
27-Feb-15,2669,66.73,10165.41,FUTCOM
28-Feb-15,746,18.65,2836.34,FUTCOM
02-Mar-15,1875,46.88,7138.94,FUTCOM
03-Mar-15,1575,39.38,5987.29,FUTCOM
04-Mar-15,2667,66.68,10063.12,FUTCOM
05-Mar-15,1801,45.03,6788.95,FUTCOM
06-Mar-15,396,9.90,1482.23,FUTCOM
09-Mar-15,1399,34.98,5291.24,FUTCOM
10-Mar-15,1582,39.55,5953.78,FUTCOM
11-Mar-15,2392,59.80,8979.68,FUTCOM
12-Mar-15,4582,114.55,17250.66,FUTCOM
13-Mar-15,2288,57.20,8653.26,FUTCOM
16-Mar-15,3951,98.78,15030.23,FUTCOM
17-Mar-15,2071,51.78,7815.69,FUTCOM
18-Mar-15,2577,64.43,9601.77,FUTCOM
19-Mar-15,3161,79.03,11892.64,FUTCOM
20-Mar-15,1546,38.65,5809.53,FUTCOM
23-Mar-15,5754,143.85,21859.06,FUTCOM
24-Mar-15,5623,140.58,21611.63,FUTCOM
25-Mar-15,6057,151.43,23340.98,FUTCOM
26-Mar-15,5289,132.23,20529.20,FUTCOM
27-Mar-15,5246,131.15,20418.85,FUTCOM
30-Mar-15,5114,127.85,20095.60,FUTCOM
31-Mar-15,6960,174.00,26978.36,FUTCOM
01-Apr-15,1456,36.40,5700.15,FUTCOM
02-Apr-15,926,23.15,3612.33,FUTCOM
06-Apr-15,6922,173.05,27788.37,FUTCOM
07-Apr-15,4809,120.23,19403.52,FUTCOM
08-Apr-15,5011,125.28,20363.99,FUTCOM
09-Apr-15,2749,68.73,11101.58,FUTCOM
10-Apr-15,3946,98.65,15768.59,FUTCOM
13-Apr-15,3802,95.05,15163.65,FUTCOM
14-Apr-15,611,15.28,2429.24,FUTCOM
15-Apr-15,3150,78.75,12492.63,FUTCOM
16-Apr-15,6872,171.80,26871.83,FUTCOM
17-Apr-15,4634,115.85,18051.54,FUTCOM
20-Apr-15,2373,59.33,9231.73,FUTCOM
21-Apr-15,1923,48.08,7489.57,FUTCOM
22-Apr-15,4770,119.25,18828.57,FUTCOM
23-Apr-15,6467,161.68,25900.41,FUTCOM
24-Apr-15,6452,161.30,26120.48,FUTCOM
27-Apr-15,6503,162.58,26810.31,FUTCOM
28-Apr-15,5714,142.85,23371.65,FUTCOM
29-Apr-15,3846,96.15,15741.49,FUTCOM
