Date,Traded Contract(Lots),Quantity (000's),Total Value (Lacs),Instrument Type
22-Feb-12,850,21.25,3745.38,FUTCOM
23-Feb-12,901,22.53,3897.59,FUTCOM
24-Feb-12,1064,26.60,4556.31,FUTCOM
25-Feb-12,770,19.25,3309.75,FUTCOM
27-Feb-12,934,23.35,3952.57,FUTCOM
28-Feb-12,1704,42.60,7336.35,FUTCOM
29-Feb-12,860,21.50,3705.41,FUTCOM
01-Mar-12,1032,25.80,4477.99,FUTCOM
02-Mar-12,1385,34.63,6101.62,FUTCOM
03-Mar-12,678,16.95,2952.26,FUTCOM
05-Mar-12,369,9.23,1539.50,FUTCOM
06-Mar-12,2731,68.28,11342.52,FUTCOM
07-Mar-12,1538,38.45,6556.51,FUTCOM
08-Mar-12,0,0.00,0.00,FUTCOM
09-Mar-12,1066,26.65,4578.13,FUTCOM
10-Mar-12,477,11.93,2014.16,FUTCOM
12-Mar-12,1305,32.63,5569.51,FUTCOM
13-Mar-12,749,18.73,3162.22,FUTCOM
14-Mar-12,1005,25.13,4317.84,FUTCOM
15-Mar-12,626,15.65,2658.49,FUTCOM
16-Mar-12,1068,26.70,4579.28,FUTCOM
17-Mar-12,838,20.95,3686.29,FUTCOM
19-Mar-12,1085,27.13,4596.84,FUTCOM
20-Mar-12,869,21.73,3664.70,FUTCOM
21-Mar-12,785,19.63,3325.00,FUTCOM
22-Mar-12,923,23.08,3927.13,FUTCOM
23-Mar-12,1156,28.90,4955.47,FUTCOM
24-Mar-12,395,9.88,1701.12,FUTCOM
26-Mar-12,579,14.48,2496.78,FUTCOM
27-Mar-12,1101,27.53,4794.41,FUTCOM
28-Mar-12,943,23.58,4071.47,FUTCOM
29-Mar-12,1092,27.30,4829.96,FUTCOM
30-Mar-12,1394,34.85,6174.80,FUTCOM
31-Mar-12,641,16.03,2846.23,FUTCOM
02-Apr-12,383,9.58,1702.71,FUTCOM
03-Apr-12,394,9.85,1757.32,FUTCOM
04-Apr-12,685,17.13,3046.52,FUTCOM
05-Apr-12,0,0.00,0.00,FUTCOM
07-Apr-12,1186,29.65,5176.85,FUTCOM
09-Apr-12,1050,26.25,4588.63,FUTCOM
10-Apr-12,1603,40.08,6917.33,FUTCOM
11-Apr-12,1147,28.68,4866.26,FUTCOM
12-Apr-12,2469,61.73,10637.88,FUTCOM
13-Apr-12,1161,29.03,5009.18,FUTCOM
16-Apr-12,686,17.15,2939.71,FUTCOM
17-Apr-12,1676,41.90,7145.20,FUTCOM
18-Apr-12,1286,32.15,5498.13,FUTCOM
19-Apr-12,1569,39.23,6627.43,FUTCOM
20-Apr-12,1561,39.03,6676.28,FUTCOM
21-Apr-12,849,21.23,3636.68,FUTCOM
23-Apr-12,1298,32.45,5590.56,FUTCOM
24-Apr-12,1236,30.90,5302.75,FUTCOM
25-Apr-12,1375,34.38,5926.61,FUTCOM
26-Apr-12,1580,39.50,6837.81,FUTCOM
27-Apr-12,1076,26.90,4675.98,FUTCOM
28-Apr-12,947,23.68,4126.68,FUTCOM
30-Apr-12,2513,62.83,11205.94,FUTCOM
01-May-12,0,0.00,0.00,FUTCOM
02-May-12,1576,39.40,7076.54,FUTCOM
03-May-12,1429,35.73,6449.00,FUTCOM
04-May-12,1794,44.85,8143.14,FUTCOM
05-May-12,1055,26.38,4793.45,FUTCOM
07-May-12,1517,37.93,6794.04,FUTCOM
08-May-12,1663,41.58,7315.39,FUTCOM
09-May-12,1114,27.85,4873.85,FUTCOM
10-May-12,1018,25.45,4473.03,FUTCOM
11-May-12,2362,59.05,10079.56,FUTCOM
12-May-12,1167,29.18,4937.89,FUTCOM
14-May-12,1406,35.15,5894.78,FUTCOM
15-May-12,2243,56.08,9522.60,FUTCOM
16-May-12,1433,35.83,6063.68,FUTCOM
17-May-12,1201,30.03,5063.34,FUTCOM
18-May-12,1235,30.88,5205.37,FUTCOM
19-May-12,610,15.25,2561.36,FUTCOM
21-May-12,1275,31.88,5333.77,FUTCOM
22-May-12,1909,47.73,7855.12,FUTCOM
23-May-12,1844,46.10,7283.73,FUTCOM
24-May-12,2475,61.88,9904.19,FUTCOM
25-May-12,2222,55.55,8939.85,FUTCOM
26-May-12,887,22.18,3570.34,FUTCOM
28-May-12,1444,36.10,5865.02,FUTCOM
29-May-12,1793,44.83,7340.88,FUTCOM
30-May-12,1622,40.55,6625.94,FUTCOM
31-May-12,1748,43.70,7079.75,FUTCOM
01-Jun-12,1461,36.53,5808.66,FUTCOM
02-Jun-12,1306,32.65,5026.79,FUTCOM
04-Jun-12,1526,38.15,5813.05,FUTCOM
05-Jun-12,863,21.58,3323.47,FUTCOM
06-Jun-12,1833,45.83,7131.17,FUTCOM
07-Jun-12,2434,60.85,9730.16,FUTCOM
08-Jun-12,1223,30.58,4877.89,FUTCOM
09-Jun-12,597,14.93,2374.60,FUTCOM
11-Jun-12,983,24.58,3933.81,FUTCOM
12-Jun-12,1007,25.18,4028.18,FUTCOM
13-Jun-12,954,23.85,3830.94,FUTCOM
14-Jun-12,2135,53.38,8647.34,FUTCOM
15-Jun-12,2417,60.43,9986.36,FUTCOM
16-Jun-12,745,18.63,3051.19,FUTCOM
18-Jun-12,1441,36.03,5904.04,FUTCOM
19-Jun-12,2517,62.93,10368.06,FUTCOM
20-Jun-12,1630,40.75,6754.98,FUTCOM
21-Jun-12,1882,47.05,7563.69,FUTCOM
22-Jun-12,2475,61.88,9912.80,FUTCOM
23-Jun-12,1410,35.25,5683.63,FUTCOM
25-Jun-12,2968,74.20,12149.08,FUTCOM
26-Jun-12,2266,56.65,9308.51,FUTCOM
27-Jun-12,2225,55.63,9188.54,FUTCOM
28-Jun-12,2075,51.88,8520.80,FUTCOM
29-Jun-12,1697,42.43,6982.50,FUTCOM
30-Jun-12,587,14.68,2428.89,FUTCOM
02-Jul-12,1927,48.18,8045.03,FUTCOM
03-Jul-12,1221,30.53,5126.58,FUTCOM
04-Jul-12,1554,38.85,6537.41,FUTCOM
05-Jul-12,2380,59.50,10082.06,FUTCOM
06-Jul-12,1585,39.63,6695.80,FUTCOM
07-Jul-12,749,18.73,3170.31,FUTCOM
09-Jul-12,2549,63.73,11023.71,FUTCOM
10-Jul-12,2982,74.55,12999.64,FUTCOM
11-Jul-12,2534,63.35,10973.01,FUTCOM
12-Jul-12,1573,39.33,6832.74,FUTCOM
13-Jul-12,1957,48.93,8541.43,FUTCOM
14-Jul-12,2420,60.50,10663.26,FUTCOM
16-Jul-12,3862,96.55,17522.70,FUTCOM
17-Jul-12,4474,111.85,20415.99,FUTCOM
18-Jul-12,2972,74.30,13486.03,FUTCOM
19-Jul-12,2034,50.85,9313.72,FUTCOM
20-Jul-12,2562,64.05,11789.76,FUTCOM
21-Jul-12,1406,35.15,6483.76,FUTCOM
23-Jul-12,3436,85.90,15663.25,FUTCOM
24-Jul-12,4402,110.05,19929.83,FUTCOM
25-Jul-12,2419,60.48,10955.86,FUTCOM
26-Jul-12,3219,80.48,14465.09,FUTCOM
27-Jul-12,2830,70.75,12740.59,FUTCOM
28-Jul-12,1447,36.18,6464.30,FUTCOM
30-Jul-12,2598,64.95,11438.09,FUTCOM
31-Jul-12,2694,67.35,11780.12,FUTCOM
01-Aug-12,1672,41.80,7359.55,FUTCOM
02-Aug-12,2077,51.93,9151.79,FUTCOM
03-Aug-12,2708,67.70,12092.73,FUTCOM
04-Aug-12,1937,48.43,8828.05,FUTCOM
06-Aug-12,2318,57.95,10648.88,FUTCOM
07-Aug-12,2726,68.15,12584.87,FUTCOM
08-Aug-12,2395,59.88,10907.25,FUTCOM
09-Aug-12,1890,47.25,8589.06,FUTCOM
10-Aug-12,810,20.25,3701.67,FUTCOM
11-Aug-12,987,24.68,4442.21,FUTCOM
13-Aug-12,1186,29.65,5288.91,FUTCOM
14-Aug-12,1236,30.90,5518.37,FUTCOM
16-Aug-12,1046,26.15,4725.02,FUTCOM
17-Aug-12,1149,28.73,5187.54,FUTCOM
18-Aug-12,371,9.28,1665.45,FUTCOM
20-Aug-12,0,0.00,0.00,FUTCOM
21-Aug-12,816,20.40,3669.17,FUTCOM
22-Aug-12,1602,40.05,7212.96,FUTCOM
23-Aug-12,1363,34.08,6163.13,FUTCOM
24-Aug-12,1340,33.50,6096.94,FUTCOM
25-Aug-12,684,17.10,3091.94,FUTCOM
27-Aug-12,1959,48.98,8779.72,FUTCOM
28-Aug-12,2016,50.40,8991.70,FUTCOM
29-Aug-12,939,23.48,4198.25,FUTCOM
30-Aug-12,618,15.45,2771.07,FUTCOM
31-Aug-12,1756,43.90,7820.72,FUTCOM
01-Sep-12,1032,25.80,4548.83,FUTCOM
03-Sep-12,904,22.60,3929.06,FUTCOM
04-Sep-12,1074,26.85,4692.51,FUTCOM
05-Sep-12,1395,34.88,6071.29,FUTCOM
06-Sep-12,785,19.63,3426.58,FUTCOM
07-Sep-12,974,24.35,4245.77,FUTCOM
08-Sep-12,490,12.25,2134.62,FUTCOM
10-Sep-12,614,15.35,2675.66,FUTCOM
11-Sep-12,696,17.40,3027.30,FUTCOM
12-Sep-12,979,24.48,4236.18,FUTCOM
13-Sep-12,923,23.08,3934.10,FUTCOM
14-Sep-12,1790,44.75,7456.14,FUTCOM
15-Sep-12,452,11.30,1880.69,FUTCOM
17-Sep-12,774,19.35,3205.74,FUTCOM
18-Sep-12,821,20.53,3388.70,FUTCOM
19-Sep-12,0,0.00,0.00,FUTCOM
20-Sep-12,948,23.70,3884.81,FUTCOM
21-Sep-12,1313,32.83,5315.71,FUTCOM
22-Sep-12,553,13.83,2214.62,FUTCOM
24-Sep-12,1375,34.38,5434.37,FUTCOM
25-Sep-12,1256,31.40,5057.54,FUTCOM
26-Sep-12,848,21.20,3443.13,FUTCOM
27-Sep-12,748,18.70,3015.66,FUTCOM
28-Sep-12,962,24.05,3845.36,FUTCOM
29-Sep-12,306,7.65,1220.56,FUTCOM
01-Oct-12,754,18.85,3008.62,FUTCOM
03-Oct-12,771,19.28,3082.39,FUTCOM
04-Oct-12,1234,30.85,4873.54,FUTCOM
05-Oct-12,1130,28.25,4413.14,FUTCOM
06-Oct-12,412,10.30,1625.51,FUTCOM
08-Oct-12,1897,47.43,7580.15,FUTCOM
09-Oct-12,2207,55.18,8943.47,FUTCOM
10-Oct-12,1591,39.78,6381.25,FUTCOM
11-Oct-12,1012,25.30,4040.49,FUTCOM
12-Oct-12,1162,29.05,4591.57,FUTCOM
13-Oct-12,322,8.05,1273.93,FUTCOM
15-Oct-12,1126,28.15,4496.59,FUTCOM
16-Oct-12,1854,46.35,7422.66,FUTCOM
17-Oct-12,1553,38.83,6237.73,FUTCOM
18-Oct-12,3028,75.70,12461.16,FUTCOM
19-Oct-12,1231,30.78,5043.70,FUTCOM
20-Oct-12,927,23.18,3833.39,FUTCOM
22-Oct-12,2399,59.98,10076.38,FUTCOM
23-Oct-12,1366,34.15,5672.64,FUTCOM
24-Oct-12,0,0.00,0.00,FUTCOM
25-Oct-12,1628,40.70,6634.27,FUTCOM
26-Oct-12,0,0.00,0.00,FUTCOM
27-Oct-12,1105,27.63,4499.21,FUTCOM
29-Oct-12,1194,29.85,4850.99,FUTCOM
30-Oct-12,2219,55.48,9085.79,FUTCOM
31-Oct-12,1679,41.98,6849.92,FUTCOM
01-Nov-12,2166,54.15,8767.00,FUTCOM
02-Nov-12,1274,31.85,5134.80,FUTCOM
03-Nov-12,669,16.73,2674.66,FUTCOM
05-Nov-12,1223,30.58,4915.25,FUTCOM
06-Nov-12,1461,36.53,5937.79,FUTCOM
07-Nov-12,999,24.98,4041.50,FUTCOM
08-Nov-12,974,24.35,3937.63,FUTCOM
09-Nov-12,1974,49.35,7974.18,FUTCOM
10-Nov-12,286,7.15,1150.86,FUTCOM
12-Nov-12,1159,28.98,4697.83,FUTCOM
13-Nov-12,299,7.48,1211.17,FUTCOM
14-Nov-12,57,1.43,230.77,FUTCOM
15-Nov-12,683,17.08,2785.45,FUTCOM
16-Nov-12,1218,30.45,4953.17,FUTCOM
17-Nov-12,609,15.23,2474.87,FUTCOM
19-Nov-12,1513,37.83,6141.69,FUTCOM
20-Nov-12,1042,26.05,4242.29,FUTCOM
21-Nov-12,1120,28.00,4573.41,FUTCOM
22-Nov-12,1495,37.38,6077.87,FUTCOM
23-Nov-12,1506,37.65,6087.20,FUTCOM
24-Nov-12,1056,26.40,4257.10,FUTCOM
26-Nov-12,2319,57.98,9404.53,FUTCOM
27-Nov-12,2231,55.78,9101.72,FUTCOM
28-Nov-12,0,0.00,0.00,FUTCOM
29-Nov-12,908,22.70,3699.37,FUTCOM
30-Nov-12,1147,28.68,4698.51,FUTCOM
01-Dec-12,659,16.48,2717.03,FUTCOM
03-Dec-12,803,20.08,3293.76,FUTCOM
04-Dec-12,666,16.65,2715.77,FUTCOM
05-Dec-12,577,14.43,2356.27,FUTCOM
06-Dec-12,706,17.65,2891.82,FUTCOM
07-Dec-12,882,22.05,3632.04,FUTCOM
08-Dec-12,1182,29.55,4897.69,FUTCOM
10-Dec-12,1364,34.10,5652.64,FUTCOM
11-Dec-12,983,24.58,4074.19,FUTCOM
12-Dec-12,2789,69.73,11650.15,FUTCOM
13-Dec-12,3193,79.83,13430.58,FUTCOM
14-Dec-12,3210,80.25,13597.51,FUTCOM
15-Dec-12,1961,49.03,8317.84,FUTCOM
17-Dec-12,2376,59.40,9964.01,FUTCOM
18-Dec-12,3381,84.53,14285.62,FUTCOM
19-Dec-12,1668,41.70,7006.19,FUTCOM
20-Dec-12,1734,43.35,7272.85,FUTCOM
21-Dec-12,2627,65.68,11115.08,FUTCOM
22-Dec-12,1898,47.45,8086.82,FUTCOM
24-Dec-12,3709,92.73,15612.45,FUTCOM
26-Dec-12,2850,71.25,11869.22,FUTCOM
27-Dec-12,2687,67.18,11258.68,FUTCOM
28-Dec-12,1532,38.30,6368.85,FUTCOM
29-Dec-12,924,23.10,3811.50,FUTCOM
31-Dec-12,2117,52.93,8809.12,FUTCOM
01-Jan-13,1983,49.58,8302.64,FUTCOM
02-Jan-13,1433,35.83,5980.80,FUTCOM
03-Jan-13,1282,32.05,5330.89,FUTCOM
04-Jan-13,1095,27.38,4544.98,FUTCOM
05-Jan-13,1071,26.78,4415.18,FUTCOM
07-Jan-13,1302,32.55,5373.22,FUTCOM
08-Jan-13,1364,34.10,5665.03,FUTCOM
09-Jan-13,1266,31.65,5268.73,FUTCOM
10-Jan-13,1314,32.85,5452.97,FUTCOM
11-Jan-13,1243,31.08,5147.72,FUTCOM
12-Jan-13,822,20.55,3420.65,FUTCOM
14-Jan-13,911,22.78,3763.25,FUTCOM
15-Jan-13,1139,28.48,4700.49,FUTCOM
16-Jan-13,950,23.75,3942.49,FUTCOM
17-Jan-13,1827,45.68,7606.32,FUTCOM
18-Jan-13,1161,29.03,4865.92,FUTCOM
19-Jan-13,743,18.58,3084.34,FUTCOM
21-Jan-13,1583,39.58,6560.31,FUTCOM
22-Jan-13,1708,42.70,7056.32,FUTCOM
23-Jan-13,2054,51.35,8549.12,FUTCOM
24-Jan-13,2764,69.10,11490.38,FUTCOM
25-Jan-13,0,0.00,0.00,FUTCOM
28-Jan-13,3776,94.40,15770.72,FUTCOM
29-Jan-13,4269,106.73,17962.88,FUTCOM
30-Jan-13,4069,101.73,17386.69,FUTCOM
31-Jan-13,2261,56.53,9578.25,FUTCOM
01-Feb-13,1434,35.85,6061.99,FUTCOM
02-Feb-13,1306,32.65,5548.64,FUTCOM
04-Feb-13,2041,51.03,8613.24,FUTCOM
05-Feb-13,1257,31.43,5289.00,FUTCOM
06-Feb-13,1470,36.75,6170.28,FUTCOM
07-Feb-13,1724,43.10,7286.64,FUTCOM
08-Feb-13,2994,74.85,12646.22,FUTCOM
09-Feb-13,1193,29.83,5105.92,FUTCOM
11-Feb-13,4984,124.60,21647.17,FUTCOM
12-Feb-13,2847,71.18,12341.54,FUTCOM
13-Feb-13,2564,64.10,11054.09,FUTCOM
