Year,Quantity in lakh bales of 170 kgs,Value in Rs.crores
01-09-2006,58,5267.08
01-09-2007,88.5,8365.98
01-09-2008,35,3837.13
01-09-2009,83,10270.21
01-09-2010,76.5,14483.31
01-09-2011,129.57,23488.59
01-09-2012,101.43,17462.87
01-09-2013,116.96,23153.24
01-09-2014,57.72,9499.87
01-09-2015,69.07,11434.8
01-09-2016,58.21,11676
01-09-2017,67.59,13976.71
01-09-2018,43.54,9502.72
01-09-2019,50,
